Date,Time,Humidity,Temperature
2022-11-15,12:52:00 PM,63.7,20.35
2022-11-15,12:52:05 PM,63.7,20.35
2022-11-15,12:52:10 PM,63.7,20.4
2022-11-15,12:52:15 PM,63.7,20.35
2022-11-15,12:52:20 PM,63.6,20.35
2022-11-15,12:52:25 PM,63.6,20.35
2022-11-15,12:52:30 PM,63.6,20.35
2022-11-15,12:52:35 PM,63.6,20.35
2022-11-15,12:52:40 PM,63.6,20.35
2022-11-15,12:52:45 PM,63.6,20.3
2022-11-15,12:52:50 PM,63.6,20.35
2022-11-15,12:52:55 PM,63.6,20.35
2022-11-15,12:53:00 PM,63.5,20.35
2022-11-15,12:53:05 PM,63.5,20.35
2022-11-15,12:53:10 PM,63.5,20.35
2022-11-15,12:53:15 PM,63.5,20.35
2022-11-15,12:53:20 PM,63.5,20.35
2022-11-15,12:53:25 PM,63.5,20.35
2022-11-15,12:53:30 PM,63.5,20.35
2022-11-15,12:53:35 PM,63.4,20.35
2022-11-15,12:53:40 PM,63.4,20.35
2022-11-15,12:53:45 PM,63.4,20.4
2022-11-15,12:53:50 PM,63.4,20.35
2022-11-15,12:53:55 PM,63.4,20.35
2022-11-15,12:54:00 PM,63.4,20.35
2022-11-15,12:54:05 PM,63.3,20.4
2022-11-15,12:54:10 PM,63.3,20.4
2022-11-15,12:54:15 PM,63.3,20.4
2022-11-15,12:54:20 PM,63.3,20.35
2022-11-15,12:54:25 PM,63.3,20.4
2022-11-15,12:54:30 PM,63.3,20.4
2022-11-15,12:54:35 PM,63.2,20.4
2022-11-15,12:54:40 PM,63.2,20.4
2022-11-15,12:54:45 PM,63.1,20.4
2022-11-15,12:54:50 PM,63.1,20.4
2022-11-15,12:54:55 PM,63.1,20.4
2022-11-15,12:55:00 PM,63.1,20.35
2022-11-15,12:55:05 PM,63.1,20.4
2022-11-15,12:55:10 PM,63.1,20.4
2022-11-15,12:55:15 PM,63.1,20.4
2022-11-15,12:55:20 PM,63,20.4
2022-11-15,12:55:25 PM,63,20.4
2022-11-15,12:55:30 PM,63,20.4
2022-11-15,12:55:35 PM,63,20.4
2022-11-15,12:55:40 PM,63,20.4
2022-11-15,12:55:45 PM,63,20.4
2022-11-15,12:55:50 PM,63,20.4
2022-11-15,12:55:55 PM,63.1,20.4
2022-11-15,12:56:00 PM,63.1,20.4
2022-11-15,12:56:05 PM,63.1,20.35
2022-11-15,12:56:10 PM,63.1,20.4
2022-11-15,12:56:15 PM,63.1,20.4
2022-11-15,12:56:20 PM,63.1,20.4
2022-11-15,12:56:25 PM,63.1,20.4
2022-11-15,12:56:30 PM,63.1,20.4
2022-11-15,12:56:35 PM,63.1,20.35
2022-11-15,12:56:40 PM,63.1,20.4
2022-11-15,12:56:45 PM,63.1,20.35
2022-11-15,12:56:50 PM,63.1,20.35
2022-11-15,12:56:55 PM,63.1,20.35
2022-11-15,12:57:00 PM,63.1,20.3
2022-11-15,12:57:05 PM,63.1,20.3
2022-11-15,12:57:10 PM,63.1,20.3
2022-11-15,12:57:15 PM,63.1,20.3
2022-11-15,12:57:20 PM,63.1,20.3
2022-11-15,12:57:25 PM,63.1,20.3
2022-11-15,12:57:30 PM,63.1,20.3
2022-11-15,12:57:35 PM,63.1,20.3
2022-11-15,12:57:40 PM,63.1,20.3
2022-11-15,12:57:45 PM,63.1,20.25
2022-11-15,12:57:50 PM,63.1,20.25
2022-11-15,12:57:55 PM,63.1,20.25
2022-11-15,12:58:00 PM,63.1,20.25
2022-11-15,12:58:05 PM,63.1,20.25
2022-11-15,12:58:10 PM,63.2,20.25
2022-11-15,12:58:15 PM,63.2,20.25
2022-11-15,12:58:20 PM,63.2,20.2
2022-11-15,12:58:25 PM,63.2,20.2
2022-11-15,12:58:30 PM,63.2,20.2
2022-11-15,12:58:35 PM,63.2,20.2
2022-11-15,12:58:40 PM,63.2,20.2
2022-11-15,12:58:45 PM,63.2,20.2
2022-11-15,12:58:50 PM,63.3,20.2
2022-11-15,12:58:55 PM,63.3,20.2
2022-11-15,12:59:00 PM,63.3,20.25
2022-11-15,12:59:05 PM,63.3,20.2
2022-11-15,12:59:10 PM,63.3,20.2
2022-11-15,12:59:15 PM,63.3,20.2
2022-11-15,12:59:20 PM,63.3,20.2
2022-11-15,12:59:25 PM,63.3,20.2
2022-11-15,12:59:30 PM,63.2,20.2
2022-11-15,12:59:35 PM,63.2,20.25
2022-11-15,12:59:40 PM,63.2,20.25
2022-11-15,12:59:45 PM,63.2,20.25
2022-11-15,12:59:50 PM,63.2,20.25
2022-11-15,12:59:55 PM,63.2,20.25
2022-11-15,1:00:00 PM,63.3,20.25
2022-11-15,1:00:05 PM,63.3,20.25
2022-11-15,1:00:10 PM,63.2,20.25
2022-11-15,1:00:15 PM,63.2,20.3
2022-11-15,1:00:20 PM,63.2,20.3
2022-11-15,1:00:25 PM,63.2,20.3
2022-11-15,1:00:30 PM,63.1,20.3
2022-11-15,1:00:35 PM,63.1,20.3
2022-11-15,1:00:40 PM,63,20.3
2022-11-15,1:00:45 PM,63,20.3
2022-11-15,1:00:50 PM,63,20.3
2022-11-15,1:00:55 PM,63,20.3
2022-11-15,1:01:00 PM,62.9,20.3
2022-11-15,1:01:05 PM,62.9,20.3
2022-11-15,1:01:10 PM,62.8,20.3
2022-11-15,1:01:15 PM,62.8,20.3
2022-11-15,1:01:20 PM,62.8,20.3
2022-11-15,1:01:25 PM,62.8,20.3
2022-11-15,1:01:30 PM,62.8,20.3
2022-11-15,1:01:35 PM,62.8,20.3
2022-11-15,1:01:40 PM,62.8,20.3
2022-11-15,1:01:45 PM,62.8,20.3
2022-11-15,1:01:50 PM,62.8,20.25
2022-11-15,1:01:55 PM,62.8,20.25
2022-11-15,1:02:00 PM,62.8,20.25
2022-11-15,1:02:05 PM,62.8,20.25
2022-11-15,1:02:10 PM,62.8,20.25
2022-11-15,1:02:15 PM,62.8,20.25
2022-11-15,1:02:20 PM,62.8,20.2
2022-11-15,1:02:25 PM,62.9,20.2
2022-11-15,1:02:30 PM,62.9,20.2
